constructorResultsId,raceId,constructorId,points,year,round,circuitId,racename,date,constructorRef,constructorName,nationality,circuitname,location,country,lat,lng
10199,738,99,0,1961,1,6,Monaco Grand Prix,5/14/1961,emeryson,Emeryson,British,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10196,738,170,1,1961,1,6,Monaco Grand Prix,5/14/1961,cooper-climax,Cooper-Climax,British,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10197,738,167,0,1961,1,6,Monaco Grand Prix,5/14/1961,cooper-maserati,Cooper-Maserati,British,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10193,738,172,9,1961,1,6,Monaco Grand Prix,5/14/1961,lotus-climax,Lotus-Climax,British,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10194,738,6,6,1961,1,6,Monaco Grand Prix,5/14/1961,ferrari,Ferrari,Italian,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10198,738,66,0,1961,1,6,Monaco Grand Prix,5/14/1961,brm,BRM,British,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10195,738,95,2,1961,1,6,Monaco Grand Prix,5/14/1961,porsche,Porsche,German,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
10202,739,170,1,1961,2,39,Dutch Grand Prix,5/22/1961,cooper-climax,Cooper-Climax,British,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
10201,739,172,4,1961,2,39,Dutch Grand Prix,5/22/1961,lotus-climax,Lotus-Climax,British,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
10203,739,66,0,1961,2,39,Dutch Grand Prix,5/22/1961,brm,BRM,British,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
10200,739,6,9,1961,2,39,Dutch Grand Prix,5/22/1961,ferrari,Ferrari,Italian,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
10204,739,95,0,1961,2,39,Dutch Grand Prix,5/22/1961,porsche,Porsche,German,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
10205,740,6,9,1961,3,13,Belgian Grand Prix,6/18/1961,ferrari,Ferrari,Italian,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
10209,740,66,0,1961,3,13,Belgian Grand Prix,6/18/1961,brm,BRM,British,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
10210,740,167,0,1961,3,13,Belgian Grand Prix,6/18/1961,cooper-maserati,Cooper-Maserati,British,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
10207,740,95,1,1961,3,13,Belgian Grand Prix,6/18/1961,porsche,Porsche,German,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
10208,740,172,0,1961,3,13,Belgian Grand Prix,6/18/1961,lotus-climax,Lotus-Climax,British,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
10206,740,170,2,1961,3,13,Belgian Grand Prix,6/18/1961,cooper-climax,Cooper-Climax,British,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
